gene_id	NAFLD_001	NAFLD_002	NAFLD_003	NAFLD_004	NAFLD_005	NAFLD_006	NAFLD_007	NAFLD_008	NAFLD_009	NAFLD_010	NAFLD_011	NAFLD_012	NAFLD_013	NAFLD_014	NAFLD_015	NAFLD_016	NAFLD_017	NAFLD_018	NAFLD_019	NAFLD_020	NAFLD_021	NAFLD_022	NAFLD_023	NAFLD_024	NAFLD_025	NAFLD_026	NAFLD_027	NAFLD_028	NAFLD_029	NAFLD_030	NAFLD_031	NAFLD_032	NAFLD_033	NAFLD_034	NAFLD_035	NAFLD_036	NAFLD_037	NAFLD_038	NAFLD_039	NAFLD_040	NAFLD_041	NAFLD_042	NAFLD_043	NAFLD_044	NAFLD_045	NAFLD_046	NAFLD_047	NAFLD_048	NAFLD_049	NAFLD_050	NAFLD_051	NAFLD_052	NAFLD_053	NAFLD_054	NAFLD_055	NAFLD_056	NAFLD_057	NAFLD_058	NAFLD_059	NAFLD_060	NAFLD_061	NAFLD_062	NAFLD_063	NAFLD_064	NAFLD_065	NAFLD_066	NAFLD_067	NAFLD_068	NAFLD_069	NAFLD_070	NAFLD_071	NAFLD_072	NAFLD_073	NAFLD_074	NAFLD_075	NAFLD_076	NAFLD_077	NAFLD_078	NAFLD_079	NAFLD_080	NAFLD_081	NAFLD_082	NAFLD_083	NAFLD_084	NAFLD_085	NAFLD_086	NAFLD_087	NAFLD_088	NAFLD_089	NAFLD_090	NAFLD_091	NAFLD_092	NAFLD_093	NAFLD_094	NAFLD_095	NAFLD_096	NAFLD_097	NAFLD_098	NAFLD_099	NAFLD_100
ENSG00000130000	9.162	10.189	11.754	14.399	9.431	14.251	8.974	11.698	7.226	10.062	10.981	8.599	10.0	8.652	9.527	6.773	13.181	11.743	11.631	9.909	13.069	12.696	8.576	10.834	9.384	9.627	8.627	10.738	11.563	12.499	9.859	9.514	8.718	15.062	15.543	10.92	16.533	11.268	7.922	7.333	10.959	9.153	8.498	9.227	8.348	13.444	10.608	10.366	11.618	13.361	12.289	9.55	7.673	11.506	9.951	8.786	11.711	9.399	10.87	11.111	8.947	9.12	10.316	10.472	17.433	10.157	16.193	9.213	9.586	10.825	8.117	12.105	10.738	9.433	11.531	8.408	11.99	10.762	10.04	9.532	10.005	10.263	13.394	10.367	14.506	9.061	9.429	10.483	9.062	9.303	10.879	9.231	7.471	10.502	9.808	13.684	9.695	9.102	10.58	8.264
ENSG00000130001	15.548	12.718	13.55	12.032	16.486	17.119	11.321	13.366	13.564	9.386	12.428	11.717	12.088	11.865	13.809	18.387	14.189	18.293	15.044	17.865	16.693	15.272	12.674	12.874	13.461	13.821	13.539	12.299	11.54	15.866	12.512	10.443	14.665	12.775	14.194	17.129	18.153	11.385	15.692	13.665	12.47	16.799	12.347	15.873	10.569	14.553	14.354	13.571	14.772	13.395	18.845	11.221	10.35	15.006	9.599	10.581	17.445	17.041	19.631	13.731	12.661	14.5	13.37	18.849	14.148	11.591	17.789	11.386	9.553	16.612	11.28	14.93	16.835	11.733	12.09	12.216	10.819	16.613	17.151	10.791	10.084	15.797	16.48	13.909	17.817	16.104	11.031	12.763	11.872	11.464	9.395	10.856	18.118	12.939	17.333	17.465	14.122	19.58	12.355	12.12
ENSG00000130002	12.531	11.346	13.224	14.065	15.867	14.453	8.844	12.667	14.802	15.438	9.985	10.14	9.839	12.301	13.366	12.866	12.956	9.424	13.484	13.753	11.481	12.134	10.758	15.038	11.908	10.366	12.777	10.852	13.254	8.728	15.353	9.954	14.428	12.325	13.489	10.779	13.859	9.811	12.442	9.9	14.111	12.212	11.258	14.775	10.918	8.422	12.741	12.788	13.061	11.273	11.405	12.021	9.652	12.164	13.036	13.419	16.032	9.644	11.124	12.464	10.257	9.133	10.463	11.973	9.491	12.12	14.618	6.976	14.39	12.5	9.433	10.767	12.091	11.643	12.531	13.102	10.814	15.866	15.713	13.137	9.941	12.572	15.555	10.921	10.047	11.866	13.147	12.075	14.059	8.547	10.22	15.994	10.971	10.141	10.496	13.51	10.118	15.249	12.258	11.492
ENSG00000130003	9.459	12.529	8.043	6.607	8.917	12.088	11.283	9.041	10.559	14.909	11.892	8.503	13.688	8.326	7.832	13.299	8.977	11.617	11.79	14.587	14.775	11.521	8.747	10.439	12.914	11.232	12.335	7.454	9.372	15.577	11.48	7.627	7.063	14.203	10.933	8.565	11.421	7.526	9.285	11.249	9.854	9.178	7.612	12.085	7.599	13.276	12.237	12.048	7.677	14.646	10.813	9.712	12.689	8.839	12.224	7.406	10.149	10.258	6.343	10.937	10.485	14.083	9.68	9.004	9.37	8.943	9.509	10.283	8.752	9.007	12.655	7.596	11.547	9.444	8.563	8.682	9.489	11.87	9.229	7.009	10.914	11.476	15.128	7.208	8.656	9.655	12.835	13.336	8.589	8.197	10.157	12.818	7.84	10.385	10.279	10.168	9.781	9.952	11.104	8.858
ENSG00000130004	9.402	7.491	9.742	11.841	9.282	14.065	6.963	9.117	9.73	10.649	9.382	8.091	8.704	5.342	9.429	8.361	10.193	8.752	7.51	9.536	8.89	7.736	7.192	10.736	5.705	6.302	7.691	8.701	7.605	8.289	12.92	7.444	8.841	13.322	7.442	10.984	8.972	7.417	8.193	7.406	7.861	8.59	9.844	9.889	8.454	10.203	9.033	10.928	12.303	9.83	11.118	9.511	10.429	9.116	8.287	9.452	10.866	10.236	7.277	12.003	9.038	6.742	9.55	7.446	9.857	10.162	9.053	6.263	4.718	6.459	10.827	11.839	10.306	9.764	6.532	10.716	8.679	10.016	10.374	9.407	8.599	9.181	9.065	10.209	11.26	12.463	7.379	9.103	9.198	10.071	7.626	9.201	12.033	11.722	8.418	8.382	9.796	7.062	13.413	8.979
ENSG00000130005	13.183	10.74	10.428	11.271	13.433	16.047	13.416	13.409	15.498	12.459	11.113	10.443	12.864	11.902	8.481	14.0	12.214	13.633	14.03	10.476	10.761	13.652	11.327	13.334	11.498	12.932	10.713	15.955	12.526	14.653	8.318	12.215	9.636	12.254	10.695	11.71	13.305	9.44	12.73	11.584	17.197	9.748	11.047	10.478	12.809	16.915	5.962	17.679	7.699	11.854	14.034	13.921	13.956	11.482	11.472	9.712	12.152	13.093	10.965	9.787	13.023	17.425	9.609	11.225	12.22	13.025	16.923	11.552	14.09	9.17	12.35	15.197	12.798	10.287	9.402	11.561	10.018	8.224	12.981	11.755	11.371	13.655	13.149	12.775	13.682	14.264	15.93	14.372	7.381	16.85	12.673	17.086	8.759	9.939	9.135	13.552	10.493	12.961	9.594	12.245
ENSG00000130006	13.235	10.24	15.18	10.409	13.388	10.538	12.196	11.353	14.498	12.051	13.151	11.997	12.478	11.578	12.216	10.156	12.536	12.064	12.216	15.312	10.017	9.322	12.497	15.78	12.059	11.512	10.027	12.205	10.754	11.76	11.415	10.756	13.201	12.028	13.148	12.095	15.21	13.371	15.617	14.038	10.511	8.945	15.182	13.578	10.305	13.656	11.778	14.771	14.387	15.492	11.486	15.394	15.935	10.574	16.541	9.898	11.055	14.555	11.376	15.037	15.084	19.472	10.761	12.248	13.686	13.098	12.186	18.053	11.959	10.663	11.211	15.26	12.149	13.122	11.125	9.694	16.588	12.69	13.645	15.393	14.606	14.731	13.748	11.964	14.477	15.834	15.342	12.529	11.496	14.689	10.749	14.752	16.465	13.562	14.208	11.791	12.389	11.876	17.996	14.999
ENSG00000130007	14.851	10.345	12.398	9.077	9.334	12.672	11.85	8.745	9.843	9.559	6.711	7.22	9.973	14.815	9.909	7.44	8.784	7.598	9.797	9.388	8.465	7.722	9.483	7.099	11.65	6.893	9.321	9.857	8.1	8.964	8.491	8.88	10.557	13.682	11.867	12.15	8.191	6.68	8.587	8.902	13.527	9.705	6.737	8.2	13.117	12.009	8.557	11.669	6.359	12.403	13.563	8.36	11.402	12.802	8.913	8.008	11.341	6.662	9.072	9.263	7.955	7.545	10.486	12.818	9.729	9.479	7.906	8.346	7.201	6.176	9.049	9.005	6.97	9.568	9.791	7.52	9.309	9.372	8.831	10.744	9.436	7.768	8.633	8.772	12.612	10.198	12.862	12.651	7.662	11.467	10.684	9.445	12.698	8.549	9.624	9.002	5.349	8.497	11.35	7.785
ENSG00000130008	9.218	12.701	11.521	10.869	11.837	9.569	8.678	10.568	11.162	12.229	11.248	11.417	12.789	10.469	9.477	13.54	12.901	10.681	13.516	12.217	10.409	14.142	9.126	9.119	10.99	13.704	10.212	9.085	11.44	11.184	9.996	10.591	11.17	10.56	10.768	10.795	10.256	12.037	8.899	11.192	12.347	12.445	12.172	11.18	14.547	11.606	11.679	11.232	13.946	9.965	10.168	9.597	11.344	13.59	10.467	8.326	9.974	12.119	10.496	11.66	11.555	11.443	10.963	10.712	10.808	11.337	8.1	11.386	11.934	11.889	12.635	9.728	10.382	11.583	13.511	10.07	11.43	10.817	9.737	13.74	11.693	11.005	10.158	12.268	11.808	9.206	11.962	10.921	11.014	14.273	13.593	12.674	11.232	13.167	7.821	8.501	12.016	13.388	11.343	10.569
ENSG00000130009	7.645	6.405	9.055	7.678	10.385	8.376	11.485	10.333	12.541	11.976	12.529	6.699	9.158	9.087	9.232	9.421	9.481	8.033	8.609	8.544	12.91	7.768	6.215	10.152	8.493	11.576	11.682	9.872	10.381	9.97	8.186	7.876	8.693	12.344	10.937	9.231	6.789	8.687	7.287	8.258	10.597	9.698	7.529	10.217	11.277	7.751	7.443	8.649	8.063	7.789	7.112	10.446	10.987	10.701	12.542	7.787	6.729	10.175	11.223	8.786	9.232	8.096	9.1	8.806	8.799	11.064	7.408	7.988	6.473	8.326	8.064	8.778	7.948	9.663	7.181	6.801	11.714	8.93	8.128	7.089	9.954	8.416	9.048	9.67	9.458	9.326	9.508	9.088	11.238	9.093	10.297	8.55	7.122	7.442	9.545	11.419	9.244	9.157	11.284	9.372
